example_id                                       | status | run_time        |
------------------------------------------------ | ------ | --------------- |
./spec/requests/api/v1/sessions_spec.rb[1:1:1:1] | passed | 0.00513 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:1:1:2] | passed | 0.0143 seconds  |
./spec/requests/api/v1/sessions_spec.rb[1:1:1:3] | passed | 0.01262 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:1:2:1] | passed | 0.00366 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:1:2:2] | passed | 0.00109 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:1:2:3] | passed | 0.00088 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:2:1:1] | passed | 0.04967 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:2:1:2] | passed | 0.00409 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:2:2:1] | passed | 0.0007 seconds  |
./spec/requests/api/v1/sessions_spec.rb[1:2:2:2] | passed | 0.0009 seconds  |
